UNIQUEID,DEMO,RESPONDENTTYPE,SETVISIT,SETSPECIALTY,SETCLINIC,MONTH,DATETIME,STARTEDSURVEY,FINISHEDSURVEY,TOTALSURVEYDURATION,ProviderSelected,ClinicSelected,GOALCHOICE,TypedGoal,Presurvey_1,Presurvey_2,Presurvey_3,Presurvey_4,Presurvey_5,PostQ1,PostQ2,PostQ3,PostQ4,PostQ5,PostQ6,PostQ7,PostQ8,PostQ9,PostQ10,PostQ11,PostQ12,PostQ13,PostQ14,PostQ15,MiniPostQ1,MiniPostQ2,MiniPostQ3,MiniPostQ4,MiniPostQ5,MiniPostQ6,MiniPostQ7,MiniPostQ8,MiniPostQ9,MiniPostQ10,Q1Future,Q2Future,Q3Future,Q4Future,Q5Future,VOICEASSIST,FONTSIZE,APPVERSION,PRETXDUR,POSTTXDUR,IPADNAME,SETPROVIDER
    113691554,0,caregiver,First,PNS,PNS Clinic,9,2014-09-21 15:48,0,0,0,2,1,8,9\U00f5:\U00bb\a,5,5,5,4,4,3,3,3,2,1,3,2,1,3,2,0,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,2.0.0,52,75,ATLabiPad2, Molly Ann Timmerman D.O.

    113691361,0,family,First,PNS,PNS Clinic,9,2014-09-21 16:09,0,0,0,1,2,2,9\U00f5:\U00bb\a,5,5,5,0,0,4,4,4,5,5,5,3,3,0,0,0,0,0,0,0,3,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,2.0.0,43,94.5,ATLabiPad2,Dr. Wade Kingery M.D.

    113691425,0,caregiver,First,Acupuncture clinic,PM&R Clinic,9,2014-09-21 16:19,0,0,0,1,2,2,9\U00f5:\U00bb\a,0,5,4,0,5,5,5,5,0,5,0,5,0,5,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,2.0.0,65.75,101.5,ATLabiPad2, Ninad Karandikar M.D.

    113691691,0,patient,First,Acupuncture clinic,PM&R Clinic,9,2014-09-21 20:24,0,0,0,1,3,3,9\U00f5:\U00bb\a,5,0,4,0,0,5,5,5,0,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,2.0.0,171.25,420.5,ATLabiPad2, Oanh Mandal M.D.

    113691799,0,patient,First,Acupuncture clinic,PM&R Clinic,9,2014-09-21 20:46,0,0,0,2,3,2,9\U00f5:\U00bb\a,5,3,4,5,5,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,2.0.0,328.5,-1,ATLabiPad2, Jeff Teraoka M.D.

    113691762,0,family,First,AT,AT Center,9,2014-09-21 21:29,0,0,0,3,3,8,9\U00f5:\U00bb\a,4,4,4,0,4,5,4,4,4,3,3,3,3,0,0,0,0,0,0,0,3,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,2.0.0,48.75,151.5,ATLabiPad2, Ninad Karandikar M.D.

    113691805,0,family,First,General PM&R,PM&R Clinic,9,2014-09-21 21:36,0,0,0,2,3,8,9\U00f5:\U00bb\a,5,5,5,0,0,5,0,5,5,5,5,5,5,0,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,2.0.0,57,130.5,ATLabiPad2, Ninad Karandikar M.D.

    113691881,0,patient,First,PNS,PNS Clinic,9,2014-09-21 21:48,0,0,0,1,2,2,9\U00f5:\U00bb\a,5,4,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,2.0.0,54,-1,ATLabiPad2,Dr. Ted Scott M.D.

    113691912,0,family,First,AT,AT Center,9,2014-09-21 21:52,0,0,0,-1,-1,-1,9\U00f5:\U00bb\a,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,2.0.0,24.5,-1,ATLabiPad2, Roger Klima M.D.

    113691935,0,family,First,AT,AT Center,9,2014-09-21 21:55,0,0,0,-1,-1,-1,9\U00f5:\U00bb\a,0,0,0,0,0,4,1,1,1,2,2,3,3,0,0,0,0,0,0,0,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,2.0.0,25.5,59,ATLabiPad2, Roger Klima M.D.

    113691915,0,caregiver,First,PNS,PNS Clinic,9,2014-09-21 22:46,0,0,0,3,-1,-1,9\U00f5:\U00bb\a,0,0,0,0,0,5,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,2.0.0,30.25,-1,ATLabiPad2,Dr. Wade Kingery M.D.

    113692099,0,patient,First,PNS,PNS Clinic,9,2014-09-22 15:48,0,0,0,1,2,7,9\U00f5:\U00bb\a,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,2.0.0,-1,-1,ATLabiPad2, Ninad Karandikar M.D.

    113692222,0,family,First,Pain,PM&R Clinic,9,2014-09-22 16:56,0,0,0,3,3,3,9\U00f5:\U00bb\a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,2.0.0,-1,-1,ATLabiPad2, Oanh Mandal M.D.

    113692030,0,family,First,Pain,PM&R Clinic,9,2014-09-22 17:12,0,0,0,2,3,3,9\U00f5:\U00bb\a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,2.0.0,-1,-1,ATLabiPad2, Oanh Mandal M.D.

    113692026,0,family,First,Pain,PM&R Clinic,9,2014-09-22 17:15,0,0,0,3,3,3,9\U00f5:\U00bb\a,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,2.0.0,-1,-1,ATLabiPad2, Oanh Mandal M.D.

    113692046,0,patient,First,Pain,PM&R Clinic,9,2014-09-22 17:19,0,0,0,3,3,3,9\U00f5:\U00bb\a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,2.0.0,-1,-1,ATLabiPad2,Dr. Wade Kingery M.D.

    113692147,0,family,First,Pain,PM&R Clinic,9,2014-09-22 17:35,0,0,0,3,4,4,9\U00f5:\U00bb\a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,2.0.0,-1,-1,ATLabiPad2,Dr. Wade Kingery M.D.

    113692188,0,family,First,Pain,PM&R Clinic,9,2014-09-22 17:44,0,0,0,3,3,9,9\U00f5:\U00bb\a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,2.0.0,-1,-1,ATLabiPad2,Dr. Lawrence Huang 

    113692196,0,family,First,Pain,PM&R Clinic,9,2014-09-22 17:46,0,0,0,3,3,3,9\U00f5:\U00bb\a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,2.0.0,-1,-1,ATLabiPad2, Oanh Mandal M.D.

    113692236,0,family,First,Pain,PM&R Clinic,9,2014-09-22 17:54,0,0,0,3,3,3,9\U00f5:\U00bb\a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,2.0.0,-1,-1,ATLabiPad2,Dr. Wade Kingery M.D.

    113692259,0,family,First,Acupuncture clinic,PM&R Clinic,9,2014-09-22 17:55,0,0,0,3,3,3,9\U00f5:\U00bb\a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,2.0.0,-1,-1,ATLabiPad2,Dr. Wade Kingery M.D.

    113692009,0,family,First,Acupuncture clinic,PM&R Clinic,9,2014-09-22 18:04,0,0,0,3,3,3,9\U00f5:\U00bb\a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,2.0.0,-1,-1,ATLabiPad2, Oanh Mandal M.D.

    113692079,0,family,First,Acupuncture clinic,PM&R Clinic,9,2014-09-22 18:13,0,0,0,3,3,3,9\U00f5:\U00bb\a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,2.0.0,-1,-1,ATLabiPad2,Dr. Wade Kingery M.D.

    113692087,0,patient,First,Pain,PM&R Clinic,9,2014-09-22 18:14,0,0,0,3,3,3,9\U00f5:\U00bb\a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,2.0.0,-1,-1,ATLabiPad2, Oanh Mandal M.D.

    113692171,0,family,First,Pain,PM&R Clinic,9,2014-09-22 18:32,0,0,0,4,3,3,9\U00f5:\U00bb\a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,2.0.0,-1,-1,ATLabiPad2, Oanh Mandal M.D.

    113692187,0,patient,First,AT,AT Center,9,2014-09-22 18:33,0,0,0,3,3,3,9\U00f5:\U00bb\a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,2.0.0,-1,-1,ATLabiPad2, Roger Klima M.D.

    113692215,0,patient,First,AT,AT Center,9,2014-09-22 18:35,0,0,0,3,3,3,9\U00f5:\U00bb\a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,2.0.0,-1,-1,ATLabiPad2, Oanh Mandal M.D.

    113692200,0,family,First,AT,AT Center,9,2014-09-22 18:37,0,0,0,3,3,3,9\U00f5:\U00bb\a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,2.0.0,-1,-1,ATLabiPad2,Dr. Wade Kingery M.D.

    113692231,0,family,First,AT,AT Center,9,2014-09-22 18:39,0,0,0,3,3,3,9\U00f5:\U00bb\a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,2.0.0,-1,-1,ATLabiPad2, Roger Klima M.D.

    113692265,0,caregiver,First,AT,AT Center,9,2014-09-22 18:44,0,0,0,3,3,3,9\U00f5:\U00bb\a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,2.0.0,-1,-1,ATLabiPad2, Roger Klima M.D.

    113692258,0,patient,First,AT,AT Center,9,2014-09-22 18:46,0,0,0,3,3,3,9\U00f5:\U00bb\a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,2.0.0,-1,-1,ATLabiPad2, Oanh Mandal M.D.

    113692270,0,family,First,AT,AT Center,9,2014-09-22 18:49,0,0,0,2,2,7,9\U00f5:\U00bb\a,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,2.0.0,-1,-1,ATLabiPad2, Oanh Mandal M.D.

    113692281,0,family,First,EMG,PM&R Clinic,9,2014-09-22 18:50,0,0,0,3,3,3,9\U00f5:\U00bb\a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,2.0.0,-1,-1,ATLabiPad2,Dr. Wade Kingery M.D.

    113692288,0,patient,First,PNS,PNS Clinic,9,2014-09-22 18:51,0,0,0,4,4,8,9\U00f5:\U00bb\a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,2.0.0,-1,-1,ATLabiPad2, Oanh Mandal M.D.

    113692064,0,family,First,AT,AT Center,9,2014-09-22 19:03,0,0,0,3,3,3,9\U00f5:\U00bb\a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,2.0.0,-1,-1,ATLabiPad2, Roger Klima M.D.

    113692076,0,family,First,Pain,PM&R Clinic,9,2014-09-22 19:04,0,0,0,3,3,3,9\U00f5:\U00bb\a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,2.0.0,-1,-1,ATLabiPad2,Dr. Wade Kingery M.D.

    113692087,0,family,First,Acupuncture clinic,PM&R Clinic,9,2014-09-22 19:06,0,0,0,3,3,3,9\U00f5:\U00bb\a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,2.0.0,-1,-1,ATLabiPad2, Roger Klima M.D.

    113692113,0,family,First,Pain,PM&R Clinic,9,2014-09-22 19:08,0,0,0,3,3,3,9\U00f5:\U00bb\a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,2.0.0,-1,-1,ATLabiPad2, Oanh Mandal M.D.

    113692125,0,family,First,AT,AT Center,9,2014-09-22 19:14,0,0,0,2,3,3,9\U00f5:\U00bb\a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,2.0.0,-1,-1,ATLabiPad2,Dr. Wade Kingery M.D.

    113692146,0,family,Return,Pain,PM&R Clinic,9,2014-09-22 19:15,0,0,0,3,3,3,9\U00f5:\U00bb\a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,2.0.0,-1,-1,ATLabiPad2,Dr. Wade Kingery M.D.

    113692161,0,family,First,Acupuncture clinic,PM&R Clinic,9,2014-09-22 19:16,0,0,0,3,3,3,9\U00f5:\U00bb\a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,2.0.0,-1,-1,ATLabiPad2, Ninad Karandikar M.D.

    113692240,0,caregiver,Return,PNS,PNS Clinic,9,2014-09-22 19:29,0,0,0,3,4,8,9\U00f5:\U00bb\a,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,2.0.0,-1,-1,ATLabiPad2, Ninad Karandikar M.D.

    113692124,0,family,First,AT,AT Center,9,2014-09-22 20:00,0,0,0,3,3,3,9\U00f5:\U00bb\a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,2.0.0,-1,-1,ATLabiPad2, Oanh Mandal M.D.

    113692246,0,family,First,AT,AT Center,9,2014-09-22 20:25,0,0,0,3,3,3,9\U00f5:\U00bb\a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,2.0.0,-1,-1,ATLabiPad2, Oanh Mandal M.D.

    113692263,0,family,First,AT,AT Center,9,2014-09-22 20:26,0,0,0,2,3,3,9\U00f5:\U00bb\a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,2.0.0,-1,-1,ATLabiPad2, Oanh Mandal M.D.

    113692327,0,family,First,AT,AT Center,9,2014-09-22 20:39,0,0,0,3,3,3,9\U00f5:\U00bb\a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,2.0.0,45.75,-1,ATLabiPad2, Roger Klima M.D.

    113692344,0,patient,First,AT,AT Center,9,2014-09-22 20:40,0,0,0,2,2,3,9\U00f5:\U00bb\a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,2.0.0,-1,-1,ATLabiPad2,Dr. Wade Kingery M.D.

    113692343,0,patient,First,PNS,PNS Clinic,9,2014-09-22 21:29,0,0,0,2,4,6,9\U00f5:\U00bb\a,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,2.0.0,-1,-1,ATLabiPad2, Molly Ann Timmerman D.O.

    113692477,0,caregiver,Return,PNS,PNS Clinic,9,2014-09-22 21:53,0,0,0,4,2,7,9\U00f5:\U00bb\a,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,2.0.0,-1,-1,ATLabiPad2, Ninad Karandikar M.D.

    113692514,0,caregiver,First,Acupuncture clinic,PM&R Clinic,9,2014-09-22 21:58,0,0,0,2,4,6,9\U00f5:\U00bb\a,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,2.0.0,-1,-1,ATLabiPad2, Jeff Teraoka M.D.

    113692250,0,caregiver,Return,PNS,PNS Clinic,9,2014-09-22 22:05,0,0,0,3,4,8,9\U00f5:\U00bb\a,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,2.0.0,-1,-1,ATLabiPad2, Ninad Karandikar M.D.

    113692270,0,caregiver,First,PNS,PNS Clinic,9,2014-09-22 22:07,0,0,0,2,2,7,9\U00f5:\U00bb\a,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,2.0.0,-1,-1,ATLabiPad2, Ninad Karandikar M.D.

    113692507,0,caregiver,Return,PNS,PNS Clinic,9,2014-09-22 23:38,0,0,0,1,1,6,9\U00f5:\U00bb\a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,2.0.0,-1,-1,ATLabiPad2, Ninad Karandikar M.D.

    113691712,0,caregiver,Return,PNS,PNS Clinic,9,2014-09-23 00:28,0,0,0,3,3,8,9\U00f5:\U00bb\a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,2.0.0,-1,-1,ATLabiPad2,Dr. Wade Kingery M.D.

    113691699,0,caregiver,First,Acupuncture clinic,PM&R Clinic,9,2014-09-23 01:15,0,0,0,1,2,7,9\U00f5:\U00bb\a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,2.0.0,-1,-1,ATLabiPad2,Dr. Wade Kingery M.D.

    113691853,0,caregiver,Return,PNS,PNS Clinic,9,2014-09-23 01:44,0,0,0,3,3,8,9\U00f5:\U00bb\a,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,2.0.0,189.75,214.5,ATLabiPad2, Ninad Karandikar M.D.
